id,timestamp,id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
420,1747342604470,834.5,-0.57,0.84,1.17,-289.31,56.09,-391.3
421,1747342604480,837.0,-0.57,0.84,1.17,-289.31,56.09,-391.3
422,1747342604490,839.5,-0.57,0.84,1.17,-289.31,56.09,-391.3
423,1747342604500,842.0,-0.4066666666666667,0.8166666666666668,1.2233333333333334,-272.26,15.603333333333333,-377.56666666666666
424,1747342604510,845.0,-0.08,0.77,1.33,-238.16,-65.37,-350.1000000000001
425,1747342604520,847.5,-0.08,0.77,1.33,-238.16,-65.37,-350.1
426,1747342604530,850.0,-0.08,0.77,1.33,-238.16,-65.37,-350.1000000000001
427,1747342604540,852.5,0.19,0.36,0.76,-221.13,-124.635,-265.84000000000003
428,1747342604550,854.5,0.19,0.36,0.76,-204.1,-183.9,-181.58
429,1747342604560,856.5,0.19,0.36,0.76,-204.1,-183.9,-181.58
430,1747342604570,859.0,0.19000000000000003,0.36000000000000004,0.7600000000000001,-204.1,-183.9,-181.58
431,1747342604580,862.0,-0.03000000000000001,0.7400000000000001,0.5666666666666667,-142.9466666666667,-54.26,-72.40666666666668
432,1747342604590,864.5,-0.14,0.93,0.47,-112.37,10.56,-17.82
433,1747342604600,866.5,-0.14,0.93,0.47,-112.37,10.56,-17.82
434,1747342604610,869.0,-0.14,0.93,0.47,-112.37,10.56,-17.82
435,1747342604620,872.0,-0.04,0.91,0.16333333333333333,-12.923333333333337,41.60666666666667,32.593333333333334
436,1747342604630,874.5,0.01,0.9,0.01,36.8,57.13,57.8
437,1747342604640,877.0,0.01,0.9,0.01,36.8,57.13,57.79999999999999
438,1747342604650,879.5,0.01,0.9,0.01,36.8,57.13,57.8
439,1747342604660,882.0,0.12333333333333334,0.9333333333333332,-0.01,158.62666666666667,40.49,89.66000000000001
440,1747342604670,884.5,0.18,0.95,-0.02,219.54,32.17,105.59
441,1747342604680,886.5,0.18,0.95,-0.02,219.54,32.17,105.59
442,1747342604690,889.0,0.18000000000000002,0.9499999999999998,-0.02,219.54,32.17,105.58999999999999
443,1747342604700,892.0,-0.05000000000000001,1.14,0.7399999999999999,237.48666666666668,80.75,181.3166666666667
444,1747342604710,894.5,-0.05,1.14,0.74,246.46,105.04,219.18
445,1747342604720,897.0,-0.05000000000000001,1.14,0.7399999999999999,246.46,105.04,219.17999999999998
446,1747342604730,899.5,-0.05,1.14,0.74,246.46,105.04,219.18
447,1747342604740,902.0,-0.33,0.98,0.81,241.39,81.67,267.58
448,1747342604750,905.0,-0.33,0.98,0.81,241.39,81.67,267.58
449,1747342604760,907.5,-0.33,0.98,0.81,241.39,81.67,267.58
450,1747342604770,909.5,-0.41000000000000003,0.915,0.985,241.39,81.67,267.58
451,1747342604780,912.0,-0.49,0.85,1.16,229.80000000000004,83.31,277.65
452,1747342604790,914.5,-0.49,0.85,1.16,229.8,83.31,277.65
453,1747342604800,917.0,-0.49,0.85,1.16,229.80000000000004,83.31,277.65
454,1747342604810,920.0,-0.7033333333333335,0.5966666666666667,1.4000000000000001,222.84,17.596666666666668,293.47666666666663
455,1747342604820,922.5,-0.81,0.47,1.52,219.36,-15.26,301.39
456,1747342604830,925.0,-0.81,0.47,1.5200000000000002,219.36,-15.26,301.39
457,1747342604840,927.5,-0.81,0.47,1.52,219.36,-15.26,301.39
458,1747342604850,930.0,-1.58,-0.55,2.58,255.57333333333335,-72.96,242.26999999999998
459,1747342604860,932.5,-1.58,-0.55,2.58,273.68,-101.81,212.71
460,1747342604870,934.5,-1.58,-0.55,2.58,273.68,-101.81,212.71
461,1747342604880,937.0,-1.58,-0.55,2.58,273.68,-101.81,212.71
462,1747342604890,939.5,-1.56,-1.38,3.26,128.66,-111.39,123.29
463,1747342604900,942.0,-1.5599999999999998,-1.38,3.26,128.66,-111.39,123.29
464,1747342604910,945.0,-1.5599999999999998,-1.38,3.26,128.66,-111.39,123.29
465,1747342604920,947.5,-1.56,-1.38,3.26,128.66,-111.39,123.29
466,1747342604930,950.0,-1.51,-1.7299999999999998,2.45,-48.46,125.61,161.8
467,1747342604940,952.5,-1.51,-1.73,2.45,-48.46,125.61,161.8
468,1747342604950,955.0,-1.51,-1.7299999999999998,2.45,-48.46,125.61,161.8
469,1747342604960,957.5,-1.51,-1.73,2.45,-48.46,125.61,161.8
470,1747342604970,959.5,-1.54,-1.49,2.12,-88.13,-10.19,-61.89
471,1747342604980,961.5,-1.54,-1.49,2.12,-88.13,-10.19,-61.89
472,1747342604990,964.0,-1.54,-1.49,2.12,-88.13,-10.19,-61.89000000000001
473,1747342605000,966.5,-1.3,-1.195,1.975,-125.515,-12.33,-119.75
474,1747342605010,969.0,-1.06,-0.9,1.83,-162.9,-14.47,-177.61
475,1747342605020,971.5,-1.06,-0.9,1.83,-162.9,-14.47,-177.61
476,1747342605030,974.0,-1.06,-0.9,1.83,-162.9,-14.47,-177.61
477,1747342605040,976.5,-0.915,-0.665,1.7000000000000002,-198.06,10.86,-197.41500000000002
478,1747342605050,979.0,-0.77,-0.43,1.57,-233.22,36.19,-217.22
479,1747342605060,981.5,-0.77,-0.43,1.57,-233.22,36.19,-217.22
480,1747342605070,984.0,-0.77,-0.43,1.57,-233.22,36.19,-217.22
481,1747342605080,987.0,-0.57,0.25,1.64,-279.52000000000004,21.256666666666664,-259.9866666666667
482,1747342605090,989.5,-0.57,0.25,1.64,-302.67,13.79,-281.37
483,1747342605100,991.5,-0.57,0.25,1.64,-302.67,13.79,-281.37
484,1747342605110,994.0,-0.57,0.25,1.64,-302.67,13.79,-281.37
485,1747342605120,996.5,-0.32,0.93,1.28,-323.36,-49.07,-264.4
486,1747342605130,999.0,-0.32,0.93,1.28,-323.36,-49.07,-264.4
487,1747342605140,1001.5,-0.32,0.93,1.28,-323.36,-49.07,-264.4
488,1747342605150,1003.5,-0.32,0.93,1.28,-323.36,-49.07,-264.4
489,1747342605160,1006.0,0.0,1.16,0.9,-277.8333333333333,-54.11666666666667,-195.4333333333333
490,1747342605170,1009.0,0.0,1.16,0.9,-255.07000000000002,-56.64000000000001,-160.95
491,1747342605180,1011.5,0.0,1.16,0.9,-255.07,-56.64,-160.95
492,1747342605190,1014.0,-0.07333333333333333,1.14,0.7833333333333333,-255.07000000000002,-56.64000000000001,-160.95
493,1747342605200,1017.0,-0.22,1.1,0.55,-209.35,31.92,-16.91
494,1747342605210,1019.5,-0.22,1.1,0.55,-209.35,31.92,-16.91
495,1747342605220,1022.0,-0.22,1.1,0.55,-209.35,31.92,-16.91
496,1747342605230,1024.5,-0.21000000000000002,1.395,0.34500000000000003,-209.35,31.92,-16.91
497,1747342605240,1027.0,-0.20000000000000004,1.6900000000000002,0.14,-66.16,57.37,-11.410000000000002
498,1747342605250,1029.5,-0.2,1.69,0.14,-66.16,57.37,-11.41
499,1747342605260,1032.0,-0.20000000000000004,1.6900000000000002,0.14,-66.16,57.37,-11.410000000000002
500,1747342605270,1035.0,0.2733333333333334,1.3699999999999999,-0.15333333333333332,81.86666666666666,-52.53,-40.54333333333333
501,1747342605280,1037.5,0.51,1.21,-0.3,155.88,-107.48,-55.11
502,1747342605290,1039.5,0.51,1.21,-0.3,155.88,-107.48,-55.11
503,1747342605300,1042.0,0.51,1.21,-0.3,155.88,-107.48,-55.10999999999999
504,1747342605310,1045.0,0.62,1.14,0.07,246.82666666666668,-83.83999999999999,28.423333333333332
505,1747342605320,1047.5,0.62,1.14,0.07,292.3,-72.02,70.19
506,1747342605330,1050.0,0.62,1.14,0.07,292.3,-72.02,70.19
507,1747342605340,1052.5,0.18,1.49,1.4,426.45,78.31,174.07
508,1747342605350,1054.5,0.18,1.49,1.4,426.45,78.31,174.07
509,1747342605360,1057.0,0.18000000000000002,1.49,1.3999999999999997,426.45,78.31,174.07000000000002
510,1747342605370,1059.5,0.18,1.49,1.4,426.45,78.31,174.07
511,1747342605380,1062.0,-0.57,0.84,3.03,338.56,116.7,331.6
512,1747342605390,1064.5,-0.57,0.84,3.03,338.56,116.7,331.6
513,1747342605400,1067.0,-0.57,0.84,3.03,338.56,116.7,331.6
514,1747342605410,1069.5,-0.625,0.58,2.33,338.56,116.7,331.6
515,1747342605420,1071.5,-0.68,0.32,1.63,253.36,-100.46,148.25
516,1747342605430,1074.0,-0.68,0.32,1.63,253.36,-100.46,148.25
517,1747342605440,1076.0,-0.68,0.32,1.63,253.36,-100.46,148.25
518,1747342605450,1078.0,-0.5066666666666667,0.3466666666666667,1.17,246.01333333333332,-81.09333333333332,110.26666666666667
519,1747342605460,1080.5,-0.42,0.36,0.94,231.32,-42.36,34.3
520,1747342605470,1083.0,-0.42,0.36000000000000004,0.94,231.32000000000002,-42.36,34.3
521,1747342605480,1085.5,-0.42,0.36,0.94,231.32,-42.36,34.3
522,1747342605490,1088.0,-0.48666666666666664,0.18000000000000002,1.3266666666666667,223.50666666666666,-24.25333333333333,77.96
523,1747342605500,1091.0,-0.52,0.09000000000000001,1.5200000000000002,219.6,-15.199999999999998,99.79
524,1747342605510,1093.5,-0.52,0.09,1.52,219.6,-15.2,99.79
525,1747342605520,1095.5,-0.52,0.09,1.52,219.6,-15.2,99.79
526,1747342605530,1097.5,-0.88,-0.95,2.69,266.11,-114.44,32.53
527,1747342605540,1100.0,-0.88,-0.9499999999999998,2.69,266.11,-114.44,32.53
528,1747342605550,1103.0,-0.88,-0.9499999999999998,2.69,266.11,-114.44,32.53
529,1747342605560,1105.5,-0.88,-0.95,2.69,266.11,-114.44,32.53
530,1747342605570,1108.0,-0.85,-1.79,3.1,19.71,71.53,122.99
531,1747342605580,1110.5,-0.85,-1.79,3.1,19.71,71.53,122.99
532,1747342605590,1113.0,-0.85,-1.79,3.1,19.71,71.53,122.99
533,1747342605600,1115.5,-0.9450000000000001,-1.685,2.8600000000000003,19.71,71.53,122.99
534,1747342605610,1117.5,-1.04,-1.58,2.62,-123.29,83.98,5.25
535,1747342605620,1120.0,-1.04,-1.58,2.62,-123.29,83.98,5.25
536,1747342605630,1122.5,-1.04,-1.58,2.62,-123.29,83.98,5.25
537,1747342605640,1125.0,-0.9666666666666667,-1.3366666666666667,2.546666666666667,-162.19000000000003,67.23666666666666,-28.19666666666667
538,1747342605650,1127.5,-0.82,-0.85,2.4,-239.99,33.75,-95.09
539,1747342605660,1130.0,-0.82,-0.85,2.4,-239.99,33.75,-95.08999999999999
540,1747342605670,1132.5,-0.82,-0.85,2.4,-239.99,33.75,-95.09
541,1747342605680,1135.0,-0.8466666666666667,-0.5566666666666666,2.2466666666666666,-258.7266666666667,40.81,-116.27
542,1747342605690,1137.5,-0.86,-0.41,2.17,-296.2,54.93,-158.63
543,1747342605700,1140.0,-0.86,-0.41,2.17,-296.2,54.93,-158.63
544,1747342605710,1143.0,-0.86,-0.41,2.17,-296.2,54.93,-158.63
545,1747342605720,1145.0,-0.56,0.04,2.19,-339.23,-9.03,-254.09
546,1747342605730,1146.0,-0.56,0.04,2.19,-339.23,-9.03,-254.09
547,1747342605740,1147.5,-0.56,0.04,2.19,-339.23,-9.03,-254.09
548,1747342605750,1150.0,-0.56,0.04,2.19,-339.23,-9.03,-254.09
549,1747342605760,1153.0,-0.46,0.7399999999999999,2.03,-385.12999999999994,-7.163333333333334,-245.05666666666664
550,1747342605770,1155.5,-0.46,0.74,2.03,-408.08,-6.23,-240.54
551,1747342605780,1158.0,-0.46,0.7399999999999999,2.03,-408.08,-6.23,-240.54
552,1747342605790,1160.5,-0.46,0.74,2.03,-408.08,-6.23,-240.54
553,1747342605800,1163.0,-0.45,1.32,1.62,-406.74,9.83,-229.86
554,1747342605810,1166.0,-0.45,1.32,1.62,-406.74,9.83,-229.86
555,1747342605820,1168.5,-0.45,1.32,1.62,-406.74,9.83,-229.86
556,1747342605830,1170.5,-0.45,1.32,1.62,-406.74,9.83,-229.86
557,1747342605840,1173.0,-0.13,1.28,1.15,-332.95,-30.27,-209.23
558,1747342605850,1175.5,-0.13,1.28,1.15,-332.95,-30.27,-209.23
559,1747342605860,1177.5,-0.13,1.28,1.15,-332.95,-30.27,-209.23
560,1747342605870,1180.0,-0.01,1.0599999999999998,0.8300000000000001,-288.4533333333333,-68.09333333333333,-170.67666666666665
561,1747342605880,1182.5,0.05,0.95,0.67,-199.46,-143.74,-93.57
562,1747342605890,1185.0,0.05000000000000001,0.9499999999999998,0.67,-199.46,-143.74,-93.57
563,1747342605900,1187.5,0.05,0.95,0.67,-199.46,-143.74,-93.57
564,1747342605910,1190.0,-0.15,1.2366666666666666,0.49666666666666665,-164.1,-102.80666666666667,-45.919999999999995
565,1747342605920,1192.5,-0.25,1.38,0.41,-93.38,-20.94,49.38
566,1747342605930,1195.0,-0.25,1.38,0.41,-93.38,-20.94,49.38
567,1747342605940,1197.5,-0.25,1.38,0.41,-93.38,-20.94,49.38
568,1747342605950,1200.0,-0.10333333333333333,1.0533333333333335,-0.056666666666666664,36.5,6.933333333333334,73.02
569,1747342605960,1202.5,-0.03,0.89,-0.29,101.44,20.87,84.84
570,1747342605970,1205.0,-0.03,0.89,-0.29,101.44,20.87,84.84
571,1747342605980,1207.5,-0.03,0.89,-0.29,101.44,20.87,84.84
572,1747342605990,1209.5,0.03,0.95,-0.13499999999999998,197.42,18.34,78.215
573,1747342606000,1211.5,0.09,1.01,0.02,293.4,15.81,71.59
574,1747342606010,1214.0,0.09000000000000001,1.01,0.02,293.4,15.81,71.59
575,1747342606020,1216.5,0.09,1.01,0.02,293.4,15.81,71.59
576,1747342606030,1219.0,0.0,1.2,1.38,353.74,75.78333333333333,118.26333333333332
577,1747342606040,1221.5,0.0,1.2,1.38,383.91,105.77,141.6
578,1747342606050,1224.0,0.0,1.2,1.38,383.91,105.77,141.6
579,1747342606060,1227.0,-0.14333333333333334,1.0433333333333332,1.5233333333333334,372.72,93.05666666666666,170.18666666666667
580,1747342606070,1229.5,-0.43,0.73,1.81,350.34,67.63,227.36
581,1747342606080,1232.0,-0.43,0.73,1.8099999999999998,350.34,67.63,227.36
582,1747342606090,1234.5,-0.43,0.73,1.81,350.34,67.63,227.36
583,1747342606100,1237.0,-0.4266666666666667,0.6699999999999999,1.6933333333333334,339.12999999999994,39.08333333333333,208.9466666666667
584,1747342606110,1239.5,-0.42,0.55,1.46,316.71,-18.01,172.12
585,1747342606120,1242.0,-0.42,0.55,1.46,316.71,-18.01,172.12
586,1747342606130,1245.0,-0.42,0.55,1.46,316.71,-18.01,172.12
587,1747342606140,1247.5,-0.41000000000000003,0.48,1.575,327.73,-34.79,169.89
588,1747342606150,1249.5,-0.4,0.41,1.69,338.75,-51.57,167.66
589,1747342606160,1252.0,-0.4000000000000001,0.41,1.6900000000000002,338.75,-51.57,167.66
590,1747342606170,1254.5,-0.4,0.41,1.69,338.75,-51.57,167.66
591,1747342606180,1257.0,-0.8933333333333332,-0.20333333333333337,2.356666666666667,323.97666666666663,-18.45,212.90666666666667
592,1747342606190,1260.0,-1.14,-0.51,2.69,316.59,-1.89,235.53
593,1747342606200,1262.5,-1.14,-0.51,2.69,316.59,-1.89,235.53
594,1747342606210,1265.0,-1.14,-0.51,2.69,316.59,-1.89,235.53
595,1747342606220,1268.0,-1.33,-1.5599999999999998,3.44,186.04,-63.23,101.26
596,1747342606230,1270.5,-1.33,-1.56,3.44,186.04,-63.23,101.26
597,1747342606240,1273.0,-1.33,-1.5599999999999998,3.44,186.04,-63.23,101.26
598,1747342606250,1275.5,-1.33,-1.56,3.44,186.04,-63.23,101.26
599,1747342606260,1278.0,-0.93,-1.87,2.7999999999999994,-5.37,25.09,39.25
600,1747342606270,1281.0,-0.93,-1.87,2.7999999999999994,-5.37,25.09,39.25
601,1747342606280,1283.5,-0.93,-1.87,2.8,-5.37,25.09,39.25
602,1747342606290,1285.5,-0.93,-1.87,2.8,-5.37,25.09,39.25
603,1747342606300,1287.0,-0.84,-1.39,2.59,-176.88,94.91,-11.96
604,1747342606310,1289.0,-0.84,-1.39,2.59,-176.88,94.91000000000001,-11.96
605,1747342606320,1291.5,-0.84,-1.39,2.59,-176.88,94.91,-11.96
606,1747342606330,1294.0,-0.7599999999999999,-0.93,2.25,-201.92333333333332,65.02333333333333,-51.370000000000005
607,1747342606340,1297.0,-0.7200000000000001,-0.6999999999999998,2.08,-252.01,5.25,-130.19
608,1747342606350,1299.0,-0.72,-0.7,2.08,-252.01,5.25,-130.19
609,1747342606360,1301.0,-0.7200000000000001,-0.6999999999999998,2.08,-252.01,5.25,-130.19
610,1747342606370,1303.5,-0.7,-0.27,2.05,-286.77,34.79,-143.58499999999998
611,1747342606380,1306.0,-0.6999999999999998,-0.27,2.05,-321.53,64.33,-156.98
612,1747342606390,1308.5,-0.7,-0.27,2.05,-321.53,64.33,-156.98
613,1747342606400,1311.0,-0.6999999999999998,-0.27,2.05,-321.53,64.33,-156.98
614,1747342606410,1313.5,-0.48,0.5,2.0,-359.465,49.315,-187.225
615,1747342606420,1316.0,-0.48,0.5,2.0,-397.3999999999999,34.3,-217.47
616,1747342606430,1318.5,-0.48,0.5,2.0,-397.4,34.3,-217.47
617,1747342606440,1321.0,-0.48,0.5,2.0,-397.3999999999999,34.3,-217.47
618,1747342606450,1323.5,-0.33,0.95,1.57,-407.84,14.83,-238.04
619,1747342606460,1325.5,-0.33,0.95,1.57,-407.84,14.83,-238.04
